ID|date_updated|source|ID_source|date_updated_source|name_primary_en|name_secondary_en|categories_en|weight_package_g|weight_serving_g|energy_kJ_per_100g|energy_kcal_per_100g|fats_total_g_per_100g|fats_saturated_g_per_100g|fats_monounsaturated_g_per_100g|fats_polyunsaturated_g_per_100g|fats_trans_g_per_100g|fats_omega6_linoleic_g_per_100g|fats_omega3_alphalinolenic_g_per_100g|fats_omega3_icosapentaenoic_g_per_100g|fats_omega3_docosahexaenoic_g_per_100g|fats_cholesterol_g_per_100g|carbohydrates_available_g_per_100g|carbohydrates_sugars_g_per_100g|carbohydrates_starch_g_per_100g|carbohydrates_dietary_fibres_g_per_100g|proteins_total_g_per_100g|salt_sodium_chloride_total_g_per_100g|alcohol_g_per_100g|water_g_per_100g|vitaminA_RE_total_g_per_100g|vitaminA_RE_REA_g_per_100g|vitaminA_RE_retinol_pure_g_per_100g|vitaminA_RE_betacarotene_activity_g_per_100g|vitaminA_RE_betacarotene_pure_g_per_100g|vitaminB1_thiamine_g_per_100g|vitaminB2_riboflavin_g_per_100g|vitaminB6_pyridoxine_g_per_100g|vitaminB12_cobalamine_g_per_100g|vitaminB3_niacin_g_per_100g|vitaminB9_folate_g_per_100g|vitaminB5_panthothenic_g_per_100g|vitaminC_ascorbic_g_per_100g|vitaminD_calciferol_g_per_100g|vitaminE_alphatocopherol_g_per_100g|mineralK_potassium_g_per_100g|mineralNa_sodium_g_per_100g|mineralCl_chloride_g_per_100g|mineralCa_calcium_g_per_100g|mineralMg_magnesium_g_per_100g|mineralP_phosphorus_g_per_100g|mineralFe_iron_g_per_100g|mineralI_iodide_g_per_100g|mineralZn_zinc_g_per_100g|mineralSe_selenium_g_per_100g|name_primary_uk|name_secondary_uk|categories_uk|name_primary_de|name_secondary_de|categories_de|name_primary_fr|name_secondary_fr|categories_fr|name_primary_it|name_secondary_it|categories_it
generic_SwissFoodDB_product_172|2025-10-04|https://naehrwertdaten.ch/en/downloads/|422|2025-07-01|Millet, grain peeled|(null)|Cereal products, pulses and potatoes/Other cereal products|(null)|(null)|1520|360|3.9|1|0.9|1.9|(null)|1.77|0.13|0|0|0|68.8|1.5|60|3.8|10.6|0|0|12.1|0|0|0|0|0|0.00034|0.00011|0.00032|0|0.0018|0.00002|0.00038|0|0|0.0001|0.17|0.003|0.015|0.0095|0.12|0.28|0.0069|0.0000025|0.0029|0.000002|Пшоно, очищене від зерна|(null)|Зернові продукти, бобові та картопля/Інші зернові продукти|Hirse, Korn geschält|(null)|Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte|Millet, grains décortiqués|(null)|Produits céréaliers, légumineuses et pommes de terre/Autres produits céréaliers|Miglio, grano decorticato|(null)|Prodotti a base di cereali, legumi e patate/Altri prodotti a base di cereali
generic_SwissFoodDB_product_173|2025-10-04|https://naehrwertdaten.ch/en/downloads/|423|2025-07-01|Durum wheat semolina|(null)|Cereal products, pulses and potatoes/Other cereal products|(null)|(null)|1470|347|1.6|0.2|0.1|0.5|(null)|0.52|0|0|0|0|66.8|1.7|45.1|6.3|13.3|0|0|11.1|0.000002|0.000001|0|0.000009|0.000009|0.00011|0.00004|0.00009|0|0.00055|0.0000467|0.00039|0|0|0.00031|0.21|0.0016|0.087|0.023|0.054|0.17|0.0026|0.0000051|0.0018|0.0000072|Манна крупа з твердих сортів пшениці|(null)|Зернові продукти, бобові та картопля/Інші зернові продукти|Hartweizengriess, trocken|(null)|Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte|Semoule de blé dur, sèche|(null)|Produits céréaliers, légumineuses et pommes de terre/Autres produits céréaliers|Semola di grano duro, secca|(null)|Prodotti a base di cereali, legumi e patate/Altri prodotti a base di cereali
generic_SwissFoodDB_product_174|2025-10-04|https://naehrwertdaten.ch/en/downloads/|424|2025-07-01|Popcorn|(null)|Savoury snacks/Other savoury snacks|(null)|(null)|1550|367|4.2|0.6|1.1|1.9|(null)|(null)|(null)|(null)|(null)|0|62.9|1.2|61.7|15|12|0|0|4.1|0.000011|0.000005|0|0.000063|0.000063|0.0002|0.0002|0.0002|0|0.002|0.000023|0.0004|0|0|0.011|0.3|0.004|0.008|0.01|0.11|0.3|0.0027|0|0.0017|(null)|Попкорн|(null)|Солоні закуски/Інші солоні закуски|Popcorn|Puffmais|Salzige Snacks/Sonstige salzige Snacks|Popcorn|Maïs éclaté|Snacks salés/Autres snacks salés|Popcorn|Mais soffiato|Snack salati/Altri snack salati
generic_SwissFoodDB_product_175|2025-10-04|https://naehrwertdaten.ch/en/downloads/|425|2025-07-01|Corn semolina, dried|(null)|Cereal products, pulses and potatoes/Corn|(null)|(null)|1480|350|1.1|0.1|0.4|0.4|(null)|0.3|0.01|0|0|0|73.8|1.5|72|5|8.8|0|0|11|0.000026|0.000013|0|0.000156|0.000088|0.00005|0.00004|0.0001|0|0.0012|0.000005|0.00026|0|0|0.00035|0.08|0.001|0.015|0.004|0.02|0.073|0.001|0.0000025|0.0004|(null)|Кукурудзяна манна крупа, сушена|(null)|Зернові продукти, бобові та картопля/кукурудза|Maisgriess, trocken|Polenta|Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mais|Semoule de maïs (polenta), sèche|(null)|Produits céréaliers, légumineuses et pommes de terre/Maïs|Semolino di mais, secco|Polenta;Semolino di granturco|Prodotti a base di cereali, legumi e patate/Mais
generic_SwissFoodDB_product_176|2025-10-04|https://naehrwertdaten.ch/en/downloads/|426|2025-07-01|Maize starch|(null)|Cereal products, pulses and potatoes/Flour and starch;Various/Gelling and binding agents|(null)|(null)|1510|354|(trace)|(trace)|(trace)|(trace)|(null)|(null)|(null)|(null)|(null)|0|88|(trace)|88|0.6|0.3|0|0|11|0.000032|0.000016|0|0.00019|0.000104|0|0|(trace)|0|(trace)|0.000001|(trace)|0|0|0|0.005|0.006|0.006|0.001|0.002|0.022|0.0005|0.0000025|0.0006|(null)|Кукурудзяний крохмаль|(null)|Зернові продукти, бобові та картопля/Борошно та крохмаль;Різні/Желеутворювачі та зв'язуючі речовини|Maisstärke|(null)|Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;Verschiedenes/Gelier- und Bindemittel|Fécule de maïs|Amidon de maîs|Produits céréaliers, légumineuses et pommes de terre/Farines et amidon;Divers/Gélifiants et liants|Fecola di mais|Amido|Prodotti a base di cereali, legumi e patate/Farine e amidi;Diversi/Gelificanti e leganti
generic_SwissFoodDB_product_177|2025-10-04|https://naehrwertdaten.ch/en/downloads/|427|2025-07-01|Rice polished, raw|(null)|Cereal products, pulses and potatoes/Rice|(null)|(null)|1490|352|0.9|0.2|0.3|0.3|(null)|0.29|0.01|0|0|0|78|0.2|77.8|1|7.4|0|0|12.3|0|0|0|0|0|0.00009|0.00004|0.00008|0|0.00192|0.0000193|0.00043|0|0|0.00005|0.085|0.0005|0.027|0.0058|0.024|0.12|0.0002|0.0000019|0.0011|0.000013|Рис шліфований, сирий|(null)|Зернові продукти, бобові та картопля/Рис|Reis poliert, trocken|(null)|Getreideprodukte, Hülsenfrüchte und Kartoffeln/Reis|Riz blanc, sec|(null)|Produits céréaliers, légumineuses et pommes de terre/Riz|Riso raffinato, secco|Riso bianco|Prodotti a base di cereali, legumi e patate/Riso
generic_SwissFoodDB_product_178|2025-10-04|https://naehrwertdaten.ch/en/downloads/|428|2025-07-01|Rice unpolished (wholemeal), raw|(null)|Cereal products, pulses and potatoes/Rice|(null)|(null)|1480|350|2.8|0.6|0.9|1|(null)|0.98|0.03|0|0|0|71.4|0.6|70.8|5|7.4|0|0|12.6|0|0|0|0|0|0.00035|0.00005|0.00012|0|0.0043|0.000048|0.00102|0|0|0.0002|0.22|0.0041|0.23|0.011|0.12|0.16|0.0011|0.0000022|0.0016|(null)|Рис нешліфований (цільнозерновий), сирий|(null)|Зернові продукти, бобові та картопля/Рис|Reis unpoliert, trocken|Vollkornreis|Getreideprodukte, Hülsenfrüchte und Kartoffeln/Reis|Riz complet, sec|(null)|Produits céréaliers, légumineuses et pommes de terre/Riz|Riso integrale, secco|Riso sbramato, secco|Prodotti a base di cereali, legumi e patate/Riso
generic_SwissFoodDB_product_179|2025-10-04|https://naehrwertdaten.ch/en/downloads/|429|2025-07-01|Pearl barley|(null)|Cereal products, pulses and potatoes/Other cereal products|(null)|(null)|1420|337|2|0.4|0.1|0.6|(null)|0.62|(trace)|0|0|0|64|1.4|45.1|13.4|9.1|0|0|10.8|0|0|0|0|0|0.00024|0.00006|0.00023|0|0.00127|0.0000503|0.00016|0|0|0.00008|0.3|0.0018|0.11|0.018|0.071|0.25|0.0019|0.000001|0.002|0.0000028|Перлова крупа|(null)|Зернові продукти, бобові та картопля/Інші зернові продукти|Rollgerste|Gerstengraupen|Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte|Orge perlé|Orge mondé|Produits céréaliers, légumineuses et pommes de terre/Autres produits céréaliers|Orzo perlato, secco|Orzo mondato|Prodotti a base di cereali, legumi e patate/Altri prodotti a base di cereali
generic_SwissFoodDB_product_180|2025-10-04|https://naehrwertdaten.ch/en/downloads/|430|2025-07-01|Wheat germ|(null)|Bread, flakes and breakfast cereals/Flakes, bran and germs;Special foods/Supplements|(null)|(null)|1580|375|9.5|1.8|1.5|5.7|(null)|5.07|0.64|(trace)|(trace)|0|35.1|10|17.8|16.3|29.2|0|0|7.5|0.00001|0.000005|0|0.000062|0.000062|0.00199|0.00014|0.0009|0|0.00168|0.000143|0.00123|0|0|0.0134|0.99|0.0072|0.08|0.054|0.25|1|0.0069|0.0000003|0.018|(null)|Зародки пшениці|(null)|Хліб, пластівці та сніданки/Пластівці, висівки та мікроби; Спеціальні продукти/Добавки|Weizenkeime|(null)|Brote, Flocken und Frühstückscerealien/Flocken, Kleie und Keime;Speziallebensmittel/Supplemente|Germe de blé|(null)|Pains, flocons et céréales pour le petit-déjeuner/Flocons, son et germes;Denrées alimentaires spéciales/Suppléments|Germe di frumento|Germe di grano|Pane, fiocchi e cereali per la prima colazione/Fiocchi, crusca e germi;Alimenti speciali/Supplementi
generic_SwissFoodDB_product_181|2025-10-04|https://naehrwertdaten.ch/en/downloads/|431|2025-07-01|Wheat bran, raw|(null)|Bread, flakes and breakfast cereals/Flakes, bran and germs|(null)|(null)|1120|271|5.5|0.9|0.7|2.9|(null)|1.39|0.11|0|0|0|17.7|1.9|13.4|45.1|15.2|0|0|11.5|0.000001|0|0|0.000006|0.000006|0.00083|0.00051|0.00054|0|0.018|0.000195|0.00225|0|0|0.0016|1.34|0.002|0.15|0.067|0.48|1.14|0.016|0.0000024|0.0092|(null)|Пшеничні висівки, сирі|(null)|Хліб, пластівці та сніданки/Пластівці, висівки та мікроби|Weizenkleie|Speisekleie|Brote, Flocken und Frühstückscerealien/Flocken, Kleie und Keime|Son de blé|(null)|Pains, flocons et céréales pour le petit-déjeuner/Flocons, son et germes|Crusca di frumento|(null)|Pane, fiocchi e cereali per la prima colazione/Fiocchi, crusca e germi
generic_SwissFoodDB_product_182|2025-10-04|https://naehrwertdaten.ch/en/downloads/|432|2025-07-01|Sweet corn, raw|(null)|Vegetables/Fresh vegetables|(null)|(null)|359|85|1.8|0.3|0.5|0.9|(null)|0.47|0.01|0|0|0|12.6|5.1|7.5|3|3.2|0|0|77.5|0.000019|0.000009|(null)|0.000113|0.000047|0.00015|0.00008|0.00016|0|0.0018|0.000033|0.00054|0.0068|0|(null)|0.31|0.003|0.011|0.004|0.037|0.091|0.0007|0.0000005|0.0004|0.0000006|Цукрова кукурудза, сира|(null)|Овочі/Свіжі овочі|Mais, roh|Maiskörner, roh;Gemüsemais;Zuckermais|Gemüse/Gemüse frisch|Maïs doux, cru|Mais sucré|Légumes/Légumes frais|Mais dolce, crudo|Granturco|Verdure/Verdure fresche
generic_SwissFoodDB_product_183|2025-10-04|https://naehrwertdaten.ch/en/downloads/|433|2025-07-01|Pear, dried|(null)|Fruit/Dried fruit|(null)|(null)|1220|288|1.4|0.2|0.3|0.6|(null)|(null)|(null)|(null)|(null)|0|59.7|49.6|0|13.5|2.3|0|0|20|0|0|0|0.000001|0.000001|0.00006|0.00008|0.00003|0|0.00065|0.000039|0.00016|0.0021|0|0.00006|0.39|0.01|0.01|0.048|0.034|0.053|0.0008|0.000004|0.0005|0.000002|Груша, сушена|(null)|Фрукти/Сухофрукти|Birne, getrocknet|Trockenbirne;Dörrbirne|Früchte/Früchte getrocknet|Poire, séchée|(null)|Fruits/Fruits secs|Pere, secche|(null)|Frutta/Frutta secca
generic_SwissFoodDB_product_184|2025-10-04|https://naehrwertdaten.ch/en/downloads/|435|2025-07-01|Apple, peeled, dried|(null)|Fruit/Dried fruit|(null)|(null)|1120|264|1.6|0.7|0.1|0.9|(null)|(null)|(null)|(null)|(null)|0|55.4|50|2.9|11.2|1.4|0|0|26.8|0.000001|0|0|0.000004|0.000004|0.00004|0.00003|0.00012|0|0.00048|0.000014|0.00028|0.0018|0|0.00157|0.62|0.01|0.009|0.03|0.023|0.05|0.0012|0.0000041|0.0002|0.0000005|Яблуко, очищене, сушене|(null)|Фрукти/Сухофрукти|Apfel, geschält, getrocknet|Dörrapfel|Früchte/Früchte getrocknet|Pomme, pelée, sechée|(null)|Fruits/Fruits secs|Mele, sbucciate, secche|(null)|Frutta/Frutta secca
generic_SwissFoodDB_product_185|2025-10-04|https://naehrwertdaten.ch/en/downloads/|436|2025-07-01|Elderberry, raw|(null)|Fruit/Fresh fruit|(null)|(null)|264|63|1.7|0.1|0.1|1.1|(null)|0.61|0.51|0|0|0|7.4|7.4|0|4|2.5|0|0|80.9|0.000054|0.000027|0|0.000325|0.000325|0.00007|0.00007|0.00025|0|0.0016|0.000017|0.00016|0.029|0|0.001|0.3|0.001|0.007|0.037|0.03|0.057|0.0016|0.000003|0.0002|(null)|Бузина, сира|(null)|Фрукти/Свіжі фрукти|Holunderbeere, schwarz, roh|(null)|Früchte/Früchte frisch|Baie de sureau noir, crue|(null)|Fruits/Fruits frais|Bacca di sambuco nero, cruda|(null)|Frutta/Frutta fresca
generic_SwissFoodDB_product_186|2025-10-04|https://naehrwertdaten.ch/en/downloads/|437|2025-07-01|Chinese cabbage, raw|(null)|Vegetables/Fresh vegetables|(null)|(null)|60|14|0.2|0|0|0.1|(null)|0.03|0.05|0|0|0|1.2|1.2|(trace)|1.1|1.4|0|0|93.9|0.000007|0.000003|0|0.000042|0.000042|0.00004|0.00004|0.00016|0|0.0004|0.0000512|0.00018|0.0221|0|0.00024|0.24|0.0065|0.018|0.032|0.0097|0.04|0.0003|0.0000003|0.0002|0.0000003|Китайська капуста, сира|Пекінська капуста|Овочі/Свіжі овочі|Chinakohl, roh|Japankohl;Selleriekohl;Pekingkohl|Gemüse/Gemüse frisch|Chou de Chine, cru|Chou chinois|Légumes/Légumes frais|Cavolo cinese, crudo|(null)|Verdure/Verdure fresche
generic_SwissFoodDB_product_187|2025-10-04|https://naehrwertdaten.ch/en/downloads/|438|2025-07-01|Sugar pea, raw|(null)|Vegetables/Fresh vegetables|(null)|(null)|203|48|0.3|0|0|0.1|(null)|0.01|0.02|0|0|0|6.4|2.7|1.2|2.3|3.8|0|0|86.6|0.000045|0.000022|0|0.000269|0.000269|0.00017|0.00014|0.00012|0|0.0007|0.0000307|0.00041|0.0513|0|0.00039|0.19|0.0018|0.018|0.045|0.027|0.061|0.0011|0.0000017|0.0005|0|Цукровий горошок, сирий|(null)|Овочі/Свіжі овочі|Kefe, roh|Zuckerschote;Kiefelerbse|Gemüse/Gemüse frisch|Pois mange-tout, cru|Pois gourmand|Légumes/Légumes frais|Taccole, crude|(null)|Verdure/Verdure fresche
generic_SwissFoodDB_product_188|2025-10-04|https://naehrwertdaten.ch/en/downloads/|439|2025-07-01|Chickpea, dried|(null)|Cereal products, pulses and potatoes/Pulses|(null)|(null)|1370|327|4.9|0.6|1.4|2.7|(null)|2.55|0.14|0|0|0|44.3|2.4|41.9|15.5|18.6|0|0|13|0.000026|0.000013|0|0.000157|0.000157|0.00052|0.00013|0.00033|0|0.0017|0.00034|0.00111|0.0051|0|0.0016|1.09|0.0081|0.08|0.12|0.14|0.38|0.0054|0.0000006|0.0024|(null)|Нут, сушений|(null)|Зернові продукти, бобові та картопля/Бобові культури|Kichererbse, getrocknet|(null)|Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte|Pois chiche, sec|(null)|Produits céréaliers, légumineuses et pommes de terre/Légumineuses|Ceci, secchi|(null)|Prodotti a base di cereali, legumi e patate/Legumi
generic_SwissFoodDB_product_189|2025-10-04|https://naehrwertdaten.ch/en/downloads/|441|2025-07-01|Romaine lettuce (cos lettuce)|(null)|Vegetables/Fresh vegetables|(null)|(null)|69|17|0.3|0|0|0.2|(null)|0.01|0.01|0|0|0|1.2|1.2|0|2.1|1.2|0|0|94.6|0.00018|0.00009|0|0.001083|0.001066|0.00006|0.00007|0.00006|0|0.00031|0.0000799|0.00016|0.0062|0|0.00029|0.25|0.008|0.048|0.033|0.014|0.03|0.0005|0.0000005|0.0002|0.0000001|Салат Ромен (салат кос)|(null)|Овочі/Свіжі овочі|Lattich, roh|(null)|Gemüse/Gemüse frisch|Laitue, crue|(null)|Légumes/Légumes frais|Lattuga romana, cruda|(null)|Verdure/Verdure fresche
generic_SwissFoodDB_product_190|2025-10-04|https://naehrwertdaten.ch/en/downloads/|442|2025-07-01|Soybean, dried|(null)|Cereal products, pulses and potatoes/Pulses|(null)|(null)|1650|396|18.3|2.4|3.7|10.7|(null)|9.47|1.22|0|0|0|8.7|6.8|0.6|22|38.2|0|0|8.4|0.000063|0.000032|0|0.00038|0.00038|0.00103|0.00046|0.001|0|0.0027|0.00025|0.0017|0.034|0|0.00064|1.8|0.0047|0.007|0.2|0.22|0.55|0.0066|0.0000063|0.0042|(null)|Соєві боби, сушені|(null)|Зернові продукти, бобові та картопля/Бобові культури|Sojabohne, getrocknet|(null)|Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte|Fève de soja, sèche|(null)|Produits céréaliers, légumineuses et pommes de terre/Légumineuses|Fagioli di soia, secchi|(null)|Prodotti a base di cereali, legumi e patate/Legumi
generic_SwissFoodDB_product_191|2025-10-04|https://naehrwertdaten.ch/en/downloads/|443|2025-07-01|Asparagus (white or green), raw|(null)|Vegetables/Fresh vegetables|(null)|(null)|110|26|0.3|0.1|0|0.2|(null)|0.15|0.01|0|0|0|2.8|1.9|0.1|1.8|2.2|0|0|92.3|0.000026|0.000013|0|0.000158|0.000149|0.00012|0.00018|0.00008|0|0.00061|0.0000794|0.00022|0.0148|0|0.00113|0.22|0.0021|0.057|0.016|0.011|0.05|0.0004|0.000005|0.0005|0.000001|Спаржа (біла або зелена), сира|(null)|Овочі/Свіжі овочі|Spargel (weiss und grün), roh|(null)|Gemüse/Gemüse frisch|Asperge (blanche ou verte), crue|(null)|Légumes/Légumes frais|Asparago (bianco o verde), crudo|(null)|Verdure/Verdure fresche
generic_SwissFoodDB_product_192|2025-10-04|https://naehrwertdaten.ch/en/downloads/|447|2025-07-01|Chicory, raw|(null)|Vegetables/Fresh vegetables|(null)|(null)|84|20|0.2|0|(trace)|0.1|(null)|0.07|0.03|0|0|0|2.8|2.4|0.2|1.2|1.1|0|0|94.5|0.000232|0.000116|0|0.001389|0.001389|0.00005|0.00004|0.00003|0|0.00021|0.0000256|0.00014|0.0016|0|(trace)|0.19|0.0019|0.034|0.018|0.0089|0.025|0.0002|0.0000004|0.0001|0.0000001|Цикорій, сирий|(null)|Овочі/Свіжі овочі|Chicorée, roh|Brüsseler Endivie|Gemüse/Gemüse frisch|Endive, crue|Chicorée de Bruxelles|Légumes/Légumes frais|Insalata belga, cruda|(null)|Verdure/Verdure fresche
generic_SwissFoodDB_product_193|2025-10-04|https://naehrwertdaten.ch/en/downloads/|448|2025-07-01|Butterhead lettuce, raw|(null)|Vegetables/Fresh vegetables|(null)|(null)|65|16|0.4|0.1|0|0.2|(null)|0.08|0.11|0|0|0|1.1|0.7|0|1.3|1.3|0|0|95.5|0.000184|0.000092|0|0.001102|0.001102|0.00007|0.0001|0.00005|0|0.0005|0.0000501|0.00015|0.0082|0|0.0003|0.23|0.01|0.078|0.041|0.012|0.028|0.0005|0.0000006|0.0003|0.0000001|Салат маслянистий, сирий|(null)|Овочі/Свіжі овочі|Kopfsalat, roh|(null)|Gemüse/Gemüse frisch|Laitue pommée, crue|(null)|Légumes/Légumes frais|Lattuga cappuccio, cruda|(null)|Verdure/Verdure fresche
generic_SwissFoodDB_product_194|2025-10-04|https://naehrwertdaten.ch/en/downloads/|449|2025-07-01|Kohlrabi, raw|(null)|Vegetables/Fresh vegetables|(null)|(null)|113|27|0.2|0|0|0.1|(null)|0.02|0.05|0|0|0|3.7|3.6|0.1|1.4|1.9|0|0|89.3|0.000003|0.000001|0|0.000017|0.000016|0.00003|0.00005|0.00008|0|0.0018|0.0000395|0.00012|0.0576|0|0.00048|0.31|0.016|0.034|0.023|0.016|0.043|0.0002|0.0000007|0.0002|0.0000009|Кольрабі, сира|(null)|Овочі/Свіжі овочі|Kohlrabi, roh|Rübkohl|Gemüse/Gemüse frisch|Chou-pomme, cru|Colrave;Chou-rave|Légumes/Légumes frais|Cavolo rapa, crudo|(null)|Verdure/Verdure fresche
generic_SwissFoodDB_product_195|2025-10-04|https://naehrwertdaten.ch/en/downloads/|450|2025-07-01|Swiss chard, raw|(null)|Vegetables/Fresh vegetables|(null)|(null)|67|16|0.2|0|0|0.1|(null)|0.06|0.01|0|0|0|1.6|1.2|(trace)|1.8|1|0.1|0|95.4|0.000076|0.000038|(null)|0.000457|0.000457|0.00004|0.00002|0.00006|0|0.0004|0.0000187|0.00018|0.0107|0|(null)|0.3|0.053|0.22|0.038|0.017|0.01|0.0009|0.000004|0.0001|0.0000005|Мангольд, сирий|(null)|Овочі/Свіжі овочі|Mangold, roh|Krautstiele|Gemüse/Gemüse frisch|Bette, crue|Côte de bette|Légumes/Légumes frais|Bietola da coste, cruda|(null)|Verdure/Verdure fresche
generic_SwissFoodDB_product_196|2025-10-04|https://naehrwertdaten.ch/en/downloads/|451|2025-07-01|Beetroot, raw|(null)|Vegetables/Fresh vegetables|(null)|(null)|201|48|0.3|0|0|0.1|(null)|0.11|0.02|0|0|0|8.4|8.4|0|2.3|1.7|0.1|0|85.1|0.000001|0.000001|0|0.000007|0.000007|0.00002|0.00004|0.00004|0|0.0002|0.000091|0.00015|0.0048|0|0.00008|0.41|0.047|0.074|0.018|0.02|0.022|0.0003|0.0000005|0.0003|0.0000002|Буряк, сирий|(null)|Овочі/Свіжі овочі|Rande, roh|Rote Beete|Gemüse/Gemüse frisch|Betterave rouge, crue|Racine rouge|Légumes/Légumes frais|Barbabietola, cruda|(null)|Verdure/Verdure fresche
generic_SwissFoodDB_product_197|2025-10-04|https://naehrwertdaten.ch/en/downloads/|452|2025-07-01|Black salsify, raw|(null)|Vegetables/Fresh vegetables|(null)|(null)|219|54|0.3|0|0.1|0.2|(null)|0.02|0.04|0|0|0|2.1|2.1|0.1|18.5|1.4|0|0|77.5|0.000008|0.000004|0|0.000046|0.000046|0.00014|0.00004|0.0001|0|0.0003|0.0000292|0.00022|0.0049|0|0.0008|0.24|0.003|0.031|0.033|0.024|0.082|0.0011|0.0000002|0.0004|0.0000002|Чорний козлобородник, сирий|(null)|Овочі/Свіжі овочі|Schwarzwurzel, roh|(null)|Gemüse/Gemüse frisch|Salsifis noir, cru|Scorsonère|Légumes/Légumes frais|Scorzonera, cruda|(null)|Verdure/Verdure fresche
generic_SwissFoodDB_product_198|2025-10-04|https://naehrwertdaten.ch/en/downloads/|453|2025-07-01|White cabbage, raw|(null)|Vegetables/Fresh vegetables|(null)|(null)|152|36|0.6|0.3|0.2|0.1|(null)|0.06|0.04|0|0|0|4.6|4.2|0|3.5|1.4|0|0|90.3|0.000004|0.000002|0|0.000024|0.000024|0.00005|0.00005|0.00017|0|0.0002|0.0000454|0.00021|0.0563|0|0.0011|0.23|0.0048|0.025|0.052|0.0097|0.029|0.0003|0.000003|0.0001|0.0000005|Білокачанна капуста, сира|(null)|Овочі/Свіжі овочі|Weisskohl, roh|Weisskabis|Gemüse/Gemüse frisch|Chou blanc, cru|(null)|Légumes/Légumes frais|Cavolo bianco, crudo|(null)|Verdure/Verdure fresche
generic_SwissFoodDB_product_199|2025-10-04|https://naehrwertdaten.ch/en/downloads/|454|2025-07-01|Savoy cabbage, raw|(null)|Vegetables/Fresh vegetables|(null)|(null)|114|27|0.1|0|0|0|(null)|0.02|0.03|0|0|0|3|2.8|0|3.1|2|0|0|89|0.000025|0.000012|(null)|0.000148|0.000148|0.0001|0.00003|0.00019|0|0.00019|0.0000509|0.00045|0.0663|0|0.00008|0.29|0.011|0.027|0.044|0.018|0.045|0.0004|0.0000026|0.0003|0.0000009|Савойська капуста, сира|(null)|Овочі/Свіжі овочі|Wirz, roh|Wirsingkohl|Gemüse/Gemüse frisch|Chou frisé (pommé), cru|(null)|Légumes/Légumes frais|Verza, cruda|(null)|Verdure/Verdure fresche
generic_SwissFoodDB_product_200|2025-10-04|https://naehrwertdaten.ch/en/downloads/|455|2025-07-01|Edible boletus, fresh|(null)|Vegetables/Mushrooms|(null)|(null)|164|39|0.4|0.1|0|0.2|(null)|(null)|(null)|(null)|(null)|0|0.5|0.1|0|6|5.4|0|0|88.6|0|0|0|0.000002|0.000002|0.00032|0.00102|0.00003|0|0.01464|0.000025|0.0027|0.0019|0.0000031|0.00016|0.34|0.006|0.03|0.0042|0.012|0.085|0.001|0.0000036|0.0015|(null)|Їстівні боровики, свіжі|(null)|Овочі/Гриби|Steinpilz, roh|(null)|Gemüse/Pilze|Bolet, cru|Cèpe|Légumes/Champignons|Fungo porcino, crudo|Boleto|Verdure/Funghi
generic_SwissFoodDB_product_201|2025-10-04|https://naehrwertdaten.ch/en/downloads/|456|2025-07-01|Radish, red, raw|(null)|Vegetables/Fresh vegetables|(null)|(null)|57|14|0.1|0|0|0|(null)|0.01|0.04|0|0|0|1.5|1.1|(trace)|1.4|0.9|0.1|0|94.6|0.000002|0.000001|0|0.000012|0.000012|0.00002|0.00004|0.00005|0|0.00025|0.0000453|0.00008|0.0163|0|0.00001|0.3|0.028|0.036|0.032|0.0095|0.018|0.0003|0.000001|0.0001|0.0000001|Редиска, червона, сира|(null)|Овочі/Свіжі овочі|Radieschen, roh|Radisli|Gemüse/Gemüse frisch|Radis rouge, cru|(null)|Légumes/Légumes frais|Ravanelli, crudi|(null)|Verdure/Verdure fresche
generic_SwissFoodDB_product_202|2025-10-04|https://naehrwertdaten.ch/en/downloads/|457|2025-07-01|Morel, fresh|(null)|Vegetables/Mushrooms|(null)|(null)|119|29|0.3|0.1|0|0.2|(null)|(null)|(null)|(null)|(null)|0|0.5|0.1|0|7|2.5|0|0|90|0|0|0|0|0|0.00013|0.00006|0.00005|0|0.005|0.000025|0.0025|0.005|0.0000031|0.00019|0.39|0.002|0.008|0.011|0.016|0.16|0.0012|0.00001|0.0005|(null)|Сморчок, свіжий|(null)|Овочі/Гриби|Morchel, roh|(null)|Gemüse/Pilze|Morille, crue|(null)|Légumes/Champignons|Spugnole, crude|(null)|Verdure/Funghi
